Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:52zzYSu7RUsSFn8cZlVjWp,"She Plays Bass","She Plays Bass","beabadoobee",2019-08-20,207106,56,true,sjengelbretson2005,2022-08-19T18:31:54Z,"bedroom pop","Dirty Hit",0.447,0.89,9,-3.823,0,0.047,0.000147,0.021,0.101,0.269,136.066,4
spotify:track:48veRDsAEBOJJnVnnabV99,"That Joke Isn't Funny Anymore","Meat Is Murder","The Smiths",1985-02-11,297586,58,false,sjengelbretson2005,2022-08-19T18:32:22Z,"new wave,madchester,jangle pop","WM UK",0.165,0.709,1,-7.409,0,0.0564,0.0167,0.000257,0.286,0.338,57.02,4
spotify:track:0uLI1jac8ZJSSRG4QJDo3J,"Still Ill - 2011 Remaster","The Smiths","The Smiths",1984-02-20,201746,65,false,sjengelbretson2005,2022-08-19T18:32:36Z,"new wave,madchester,jangle pop","WM UK",0.404,0.927,9,-7.568,1,0.146,0.0112,0.00678,0.163,0.49,175.11,4
spotify:track:6P1n32rWsfXxwFbckfOuks,"Summer War","Duster","Duster",2019-12-13,278651,38,false,sjengelbretson2005,2022-08-19T18:34:23Z,"slowcore,shoegaze","Numero Group",0.247,0.74,9,-6.685,1,0.0373,0.000357,0.687,0.818,0.212,155.077,4
spotify:track:0uwEur2c1HaD1r87plrUbD,"Topical Solution","Stratosphere","Duster",1998-02-24,300893,50,false,sjengelbretson2005,2022-08-19T18:34:35Z,"slowcore,shoegaze","Numero Group",0.683,0.62,9,-12.445,1,0.0409,0.9,0.934,0.0992,0.121,74.953,4
spotify:track:55q3Ro66yXWi9rsEddeEN4,"Pyramid Song","Amnesiac","Radiohead",2001-03-12,288733,65,false,sjengelbretson2005,2022-08-19T18:49:12Z,"art rock,alternative rock","XL Recordings",0.12,0.336,11,-8.298,0,0.0352,0.786,0.404,0.111,0.0679,72.64,4
spotify:track:7FHj19QQigvMH1onMYRNLn,"I Want You","Retired from Sad, New Career in Business","Mitski",2013-08-01,183792,73,false,sjengelbretson2005,2022-08-20T22:10:06Z,"","Good Harbor",0.339,0.292,3,-11.294,1,0.0348,0.514,0,0.0713,0.0655,131.702,3
spotify:track:5jFAzh07g8NtCudxvMoKwK,"its all good","off the grid","Yot Club",2022-06-10,223375,28,false,sjengelbretson2005,2022-08-20T22:26:08Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.619,0.758,11,-5.863,0,0.0329,0.447,0.4,0.463,0.715,115.337,4
spotify:track:2M3w1o8DGt84E1l18Sl3Gb,"Game Over","Nature Machine","Yot Club",2020-07-14,192659,24,false,sjengelbretson2005,2022-08-20T23:18:48Z,"bedroom pop","Nice Guys",0.679,0.712,10,-6.962,0,0.0342,0.652,0.912,0.189,0.461,115.786,4
spotify:track:0hquQWY3xvYqN4qtiquniF,"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",2022-05-06,182906,72,true,sjengelbretson2005,2022-08-20T23:24:51Z,"","Kemosabe Records/RCA Records",0.801,0.601,8,-7.574,0,0.255,0.0777,0.0000323,0.145,0.74,159.969,4
spotify:track:69Kzq3FMkDwiSFBQzRckFD,"This Night Has Opened My Eyes - 2011 Remaster","Hatful of Hollow","The Smiths",1984,221533,75,false,sjengelbretson2005,2022-08-21T04:27:42Z,"new wave,madchester,jangle pop","WM UK",0.696,0.628,2,-8.407,1,0.0274,0.00102,0.428,0.272,0.701,100.038,4
