Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:45gyof1G7dJMuuWfEK4oXZ,"Fear No One","11","SAULT",2022-11-11,170773,43,false,sjengelbretson2005,2024-12-06T18:15:12Z,"","Forever Living Originals",0.594,0.418,11,-8.776,0,0.0295,0.0564,0.0014,0.265,0.189,83.442,4
spotify:track:3M6H6m1K15LqpchApR9vQd,"Together","11","SAULT",2022-11-11,219370,34,false,sjengelbretson2005,2024-12-06T18:15:17Z,"","Forever Living Originals",0.607,0.649,4,-6.825,0,0.0726,0.297,0.461,0.227,0.674,113.011,4
spotify:track:0qnsUg7opCIpsBFHv0u7W1,"Higher","11","SAULT",2022-11-11,221440,48,false,sjengelbretson2005,2024-12-06T18:15:23Z,"","Forever Living Originals",0.877,0.407,1,-8.021,1,0.0432,0.144,0.74,0.0819,0.921,110.731,4
spotify:track:4bQhGIHwo1ZpixP9MudUbV,"Love Will Work It Out","Private Space","Durand Jones & The Indications;Durand Jones;Aaron Frazer",2021-07-30,225461,53,false,sjengelbretson2005,2024-12-06T18:15:28Z,"retro soul","Dead Oceans",0.629,0.498,2,-10.313,0,0.0823,0.197,0.00045,0.206,0.591,82.108,4
spotify:track:6eB63OaVVr9rdZ8AM4Odkc,"More Than Ever","Private Space","Durand Jones & The Indications;Durand Jones",2021-07-30,195334,40,false,sjengelbretson2005,2024-12-06T18:15:33Z,"retro soul","Dead Oceans",0.615,0.484,9,-11.046,0,0.0453,0.466,0,0.0542,0.867,82.947,4
spotify:track:6KNV6L3b7beomEUnzWgw0X,"Ride or Die","Private Space","Durand Jones & The Indications;Aaron Frazer",2021-07-30,254722,50,false,sjengelbretson2005,2024-12-06T18:15:38Z,"retro soul","Dead Oceans",0.607,0.629,2,-10.509,1,0.0406,0.375,0.0806,0.0844,0.688,101.974,4
spotify:track:5Dxv2JoDim8FfyUzCbOqvQ,"The Way That I Do","Private Space","Durand Jones & The Indications;Aaron Frazer",2021-07-30,210329,61,false,sjengelbretson2005,2024-12-06T18:15:44Z,"retro soul","Dead Oceans",0.71,0.533,8,-11.754,1,0.0489,0.243,0.06,0.0677,0.899,115.049,4
spotify:track:3Rq93KKYddsJbiyumEyX7W,"Reach Out","Private Space","Durand Jones & The Indications;Durand Jones",2021-07-30,258091,44,false,sjengelbretson2005,2024-12-06T18:15:48Z,"retro soul","Dead Oceans",0.761,0.402,9,-10.473,0,0.0298,0.149,0.000156,0.0489,0.781,90.973,4
spotify:track:3UtjaTgFZxKN38AkoJ5tED,"Bikinis and Trackies (feat. Frost Children)","Bikinis and Trackies (feat. Frost Children)","Babymorocco;Frost Children",2024-11-04,163200,0,false,sjengelbretson2005,2024-12-06T18:15:55Z,"electroclash,hyperpop","True Panther/Virgin",0.724,0.87,9,-5.069,1,0.122,0.00766,0.0000313,0.144,0.873,150.051,4
spotify:track:5wmNUtxbJnTFa8QpH99P5J,"5 Inch Heels","Untitled","Quay Dash;K. G. HELM;BABYNYMPH",2024-10-31,153346,22,true,sjengelbretson2005,2024-12-06T18:15:59Z,"ballroom vogue,hyperpop","6881860 Records DK2",0.761,0.643,6,-6.521,1,0.0689,0.000827,0.0262,0.0837,0.488,129.867,4
spotify:track:4VX1sBHEkkA1wRYb1JAWCU,"Real Cashy, Pt. 1","Untitled","Quay Dash;K. G. HELM;Mary Posa",2024-10-31,128524,6,true,sjengelbretson2005,2024-12-06T18:16:05Z,"ballroom vogue","6881860 Records DK2",0.633,0.748,1,-9.479,1,0.669,0.0769,0.000526,0.0995,0.625,182.933,4
spotify:track:4rWWNbsiorGPfSb7B4c8sy,"I remember how your hands felt on mine","I remember how your hands felt on mine","Wisp",2024-10-31,195968,59,false,sjengelbretson2005,2024-12-06T18:16:11Z,"shoegaze","Music Soup/Interscope Records",0.379,0.704,4,-7.385,1,0.0388,0.00354,0.898,0.108,0.075,120.154,4
spotify:track:2VtXANhW6YpAzsMDQCFkAv,"Your face","Pandora","Wisp",2024-04-05,229728,74,false,sjengelbretson2005,2024-12-06T18:16:16Z,"shoegaze","Music Soup/Interscope Records",0.512,0.77,4,-5.932,1,0.0284,0.00499,0.888,0.174,0.178,134.053,4
spotify:track:5ZKWXHh40U2QX1NHiWTnTk,"Luna","Pandora","Wisp",2024-04-05,235894,57,false,sjengelbretson2005,2024-12-06T18:16:23Z,"shoegaze","Music Soup/Interscope Records",0.303,0.47,4,-8.105,1,0.0345,0.0211,0.949,0.0968,0.169,132.277,4
spotify:track:0XQFACvy0OCADmCIgHNtXJ,"FEELINGS ON SILENT (feat. Wale)","MUTT","Leon Thomas;Wale",2024-09-27,209182,57,true,sjengelbretson2005,2024-12-06T18:16:28Z,"","EZMNY Records/Motown Records",0.409,0.452,5,-8.281,0,0.053,0.481,0.0000753,0.199,0.431,77.393,4
spotify:track:2iksjpqL3eraxCBKqNHuqd,"YES IT IS","MUTT","Leon Thomas",2024-09-27,228047,74,true,sjengelbretson2005,2024-12-06T18:16:34Z,"","EZMNY Records/Motown Records",0.755,0.642,5,-6.105,0,0.141,0.593,0.000301,0.122,0.293,121.945,4
spotify:track:7K8mX41Nub7AzBt1RwwE6d,"Breadcrumb Trail","Spiderland","Slint",1991-03-15,355533,48,false,sjengelbretson2005,2024-12-06T18:16:46Z,"post-rock,math rock,noise rock,slowcore,post-hardcore","Touch and Go Records",0.235,0.44,7,-16.609,1,0.0406,0.0106,0.119,0.0947,0.196,175.747,3
spotify:track:3oNP9Gh1NY4sjqaVUaNjTQ,"Washer","Spiderland","Slint",1991-03-15,530026,46,false,sjengelbretson2005,2024-12-06T18:16:51Z,"post-rock,math rock,noise rock,slowcore,post-hardcore","Touch and Go Records",0.433,0.0954,4,-24.127,0,0.0302,0.378,0.521,0.0852,0.0384,110.054,4
spotify:track:0aULRU35N9kTj6O1xMULRR,"Magic Stick","La Bella Mafia","Lil' Kim",2003-03-03,359973,63,true,sjengelbretson2005,2024-12-06T18:16:57Z,"east coast hip hop","Atlantic Records",0.849,0.499,2,-7.872,1,0.271,0.117,0.0000497,0.268,0.504,92.982,4
